countryname,Year,infant_mortality,sender_combination,endyearUS,sanctions_success,us_length
Azerbaijan,2013,30,NA,NA,NA,11
Azerbaijan,2014,28.9,NA,NA,NA,11
Azerbaijan,2015,27.9,NA,NA,NA,11
Barbados,2002,15.3,US,2009,0,1
Barbados,2003,15.3,NA,NA,NA,2
Barbados,2004,15.3,NA,NA,NA,3
Barbados,2005,15.1,NA,NA,NA,4
Barbados,2006,14.9,NA,NA,NA,5
Barbados,2007,14.5,NA,NA,NA,6
Barbados,2008,14.2,NA,NA,NA,7
Barbados,2009,13.9,NA,NA,NA,8
Barbados,2010,13.6,NA,NA,NA,8
Barbados,2011,13.3,NA,NA,NA,8
Barbados,2012,13,NA,NA,NA,8
Barbados,2013,12.7,NA,NA,NA,8
Barbados,2014,12.3,NA,NA,NA,8
Barbados,2015,12,NA,NA,NA,8
Belize,1997,23.3,US,1998,NA,1
Belize,1998,22.5,NA,NA,NA,1
Belize,1999,21.8,NA,NA,NA,1
Belize,2000,21.1,US,2003,1,1
Belize,2001,20.5,NA,NA,NA,2
Belize,2002,19.9,NA,NA,NA,3
Belize,2003,19.4,NA,NA,NA,4
Belize,2004,18.9,NA,NA,NA,4
Belize,2005,18.5,NA,NA,NA,4
Belize,2006,18,NA,NA,NA,4
Belize,2007,17.6,NA,NA,NA,4
Belize,2008,17.2,NA,NA,NA,4
Belize,2009,16.7,NA,NA,NA,4
Belize,2010,16.3,NA,NA,NA,4
Belize,2011,15.9,NA,NA,NA,4
Belize,2012,15.5,NA,NA,NA,4
Belize,2013,15.1,NA,NA,NA,4
Belize,2014,14.6,NA,NA,NA,4
Belize,2015,14.2,NA,NA,NA,4
Benin,2002,85.2,US,2005,1,1
Benin,2003,83,NA,NA,NA,2
Benin,2004,80.8,NA,NA,NA,3
Benin,2005,78.8,NA,NA,NA,4
Benin,2006,76.9,NA,NA,NA,4
Benin,2007,75.2,NA,NA,NA,4
Benin,2008,73.7,NA,NA,NA,4
Benin,2009,72.3,NA,NA,NA,4
Benin,2010,71,NA,NA,NA,4
Benin,2011,69.8,NA,NA,NA,4
Benin,2012,68.5,NA,NA,NA,4
Benin,2013,67.2,NA,NA,NA,4
Benin,2014,65.7,NA,NA,NA,4
Benin,2015,64.2,NA,NA,NA,4
Bolivia,1994,74.8,US,1996,NA,1
Bolivia,1995,72.2,NA,NA,NA,2
Bolivia,1996,69.5,NA,NA,NA,3
Bolivia,1997,66.8,NA,NA,NA,3
Bolivia,1998,64.1,NA,NA,NA,3
Bolivia,1999,61.4,NA,NA,NA,3
Bolivia,2000,58.8,US,2009,0,3
Bolivia,2001,56.2,NA,NA,NA,4
Bolivia,2002,53.7,NA,NA,NA,5
Bolivia,2003,51.2,NA,NA,NA,6
Bolivia,2004,48.8,NA,NA,NA,7
Bolivia,2005,46.6,NA,NA,NA,8
Bolivia,2006,44.4,NA,NA,NA,9
Bolivia,2007,42.2,NA,NA,NA,10
Bolivia,2008,40.2,NA,NA,0,11
Bolivia,2009,38.4,NA,NA,NA,12
Bolivia,2010,36.8,NA,NA,NA,12
Bolivia,2011,35.3,NA,NA,NA,12
Bolivia,2012,34,NA,NA,NA,12
Bolivia,2013,32.8,NA,NA,NA,12
Bolivia,2014,31.7,NA,NA,NA,12
Bolivia,2015,30.6,NA,NA,NA,12
Bosnia and Herzegovina,2002,7.2,US,2003,NA,1
Bosnia and Herzegovina,2003,7,NA,NA,NA,1
Bosnia and Herzegovina,2004,7,NA,NA,NA,1
Bosnia and Herzegovina,2005,7.1,NA,NA,NA,1
Bosnia and Herzegovina,2006,7.2,NA,NA,NA,1
Bosnia and Herzegovina,2007,7.1,NA,NA,NA,1
Bosnia and Herzegovina,2008,7,NA,NA,NA,1
Bosnia and Herzegovina,2009,6.7,NA,NA,NA,1
Bosnia and Herzegovina,2010,6.4,NA,NA,NA,1
Bosnia and Herzegovina,2011,6.2,NA,NA,NA,1
Bosnia and Herzegovina,2012,5.9,NA,NA,NA,1
Bosnia and Herzegovina,2013,5.6,NA,NA,NA,1
Bosnia and Herzegovina,2014,5.4,NA,NA,NA,1
Bosnia and Herzegovina,2015,5.1,NA,NA,NA,1
Botswana,2000,52.4,US,2003,NA,1
Botswana,2001,51.4,NA,NA,NA,2
Botswana,2002,50.3,NA,NA,NA,3
Botswana,2003,49.8,NA,NA,NA,4
Botswana,2004,49.1,NA,NA,NA,4
Botswana,2005,44.8,NA,NA,NA,4
Botswana,2006,43.8,NA,NA,NA,4
Botswana,2007,45.5,NA,NA,NA,4
Botswana,2008,45.3,NA,NA,NA,4
Botswana,2009,42.3,NA,NA,NA,4
Botswana,2010,39.8,NA,NA,NA,4
Botswana,2011,39.9,NA,NA,NA,4
Botswana,2012,38.2,NA,NA,NA,4
Botswana,2013,36.4,NA,NA,NA,4
Botswana,2014,35.6,NA,NA,NA,4
Botswana,2015,34.8,NA,NA,NA,4
Brazil,2002,24.3,US,2009,0,1
Brazil,2003,22.5,NA,NA,NA,2
Brazil,2004,21,NA,NA,NA,3
Brazil,2005,19.5,NA,NA,NA,4
Brazil,2006,18.2,NA,NA,NA,5
Brazil,2007,17.1,NA,NA,NA,6
Brazil,2008,16.2,NA,NA,NA,7
Brazil,2009,15.4,NA,NA,NA,8
Brazil,2010,14.8,NA,NA,NA,8
Brazil,2011,14.4,NA,NA,NA,8
Brazil,2012,14.3,NA,NA,NA,8
Brazil,2013,14.3,NA,NA,NA,8
Brazil,2014,14.4,NA,NA,NA,8
Brazil,2015,14.6,NA,NA,NA,8
Bulgaria,2002,16.3,US,2003,0,1
Bulgaria,2003,15.5,NA,NA,NA,1
Bulgaria,2004,14.6,NA,NA,NA,1
Bulgaria,2005,13.6,NA,NA,NA,1
Bulgaria,2006,12.9,NA,NA,NA,1
Bulgaria,2007,12.3,NA,NA,NA,1
Bulgaria,2008,11.8,NA,NA,NA,1
Bulgaria,2009,11.5,NA,NA,NA,1
Bulgaria,2010,11.2,NA,NA,NA,1
Bulgaria,2011,10.9,NA,NA,NA,1
Bulgaria,2012,10.5,NA,NA,NA,1
Bulgaria,2013,10.1,NA,NA,NA,1
Bulgaria,2014,9.7,NA,NA,NA,1
Bulgaria,2015,9.3,NA,NA,NA,1
Burkina Faso,2000,96.2,US,2001,NA,1
Burkina Faso,2001,95,NA,NA,NA,1
Burkina Faso,2002,93.4,NA,NA,NA,1
Burkina Faso,2003,91.4,NA,NA,NA,1
Burkina Faso,2004,88.9,NA,NA,NA,1
Burkina Faso,2005,86,NA,NA,NA,1
Burkina Faso,2006,82.7,NA,NA,NA,1
Burkina Faso,2007,79.2,NA,NA,NA,1
Burkina Faso,2008,75.8,NA,NA,NA,1
Burkina Faso,2009,72.5,NA,NA,NA,1
Burkina Faso,2010,69.7,NA,NA,NA,1
Burkina Faso,2011,67.3,NA,NA,NA,1
Burkina Faso,2012,65.4,NA,NA,NA,1
Burkina Faso,2013,63.7,NA,NA,NA,1
Burkina Faso,2014,62.2,NA,NA,NA,1
Burkina Faso,2015,60.9,NA,2015,NA,1
Cambodia,1998,87.1,US,2001,NA,1
Cambodia,1999,84.5,NA,NA,NA,2
Cambodia,2000,80.4,NA,NA,NA,3
Cambodia,2001,74.7,NA,NA,NA,4
Cambodia,2002,68.3,US,2005,1,4
Cambodia,2003,62.3,NA,NA,NA,5
Cambodia,2004,57.4,NA,NA,NA,6
Cambodia,2005,53.3,NA,NA,NA,7
Cambodia,2006,49.8,NA,NA,NA,7
Cambodia,2007,46.5,NA,NA,NA,7
Cambodia,2008,43.3,NA,NA,NA,7
Cambodia,2009,40,NA,NA,NA,7
Cambodia,2010,36.7,NA,NA,NA,7
Cambodia,2011,33.6,NA,NA,NA,7
Cambodia,2012,30.7,NA,NA,NA,7
Cambodia,2013,28.3,NA,NA,NA,7
Cambodia,2014,26.3,NA,NA,NA,7
Cambodia,2015,24.6,NA,NA,NA,7
Cameroon,1992,88.2,US,1998,0,1
Cameroon,1993,89.9,NA,NA,NA,2
Cameroon,1994,91.5,NA,NA,NA,3
Cameroon,1995,93,NA,NA,NA,4
Cameroon,1996,94.1,NA,NA,NA,5
Cameroon,1997,94.7,NA,NA,NA,6
Cameroon,1998,94.7,NA,NA,NA,7
Cameroon,1999,93.8,NA,NA,NA,7
Cameroon,2000,91.9,NA,NA,NA,7
Cameroon,2001,89.3,NA,NA,NA,7
Cameroon,2002,86.2,NA,NA,NA,7
Cameroon,2003,83.1,NA,NA,NA,7
Cameroon,2004,80.3,NA,NA,NA,7
Cameroon,2005,77.8,NA,NA,NA,7
Cameroon,2006,75.3,NA,NA,NA,7
Cameroon,2007,73.1,NA,NA,NA,7
Cameroon,2008,70.8,NA,NA,NA,7
Cameroon,2009,68.8,NA,NA,NA,7
Cameroon,2010,66.2,NA,NA,NA,7
Cameroon,2011,64.4,NA,NA,NA,7
Cameroon,2012,62.4,NA,NA,NA,7
Cameroon,2013,60.4,NA,NA,NA,7
Cameroon,2014,58.6,NA,NA,NA,7
Cameroon,2015,57.1,NA,NA,NA,7
Central African Republic,2001,112.9,US,2004,1,1
Central African Republic,2002,112.1,NA,NA,NA,2
Central African Republic,2003,111.3,NA,2005,1,3
Central African Republic,2004,110.4,NA,NA,NA,4
Central African Republic,2005,109.3,NA,NA,NA,4
Central African Republic,2006,108.1,NA,NA,NA,4
Central African Republic,2007,106.9,NA,NA,NA,4
Central African Republic,2008,105.5,NA,NA,NA,4
Central African Republic,2009,103.6,NA,NA,NA,4
Central African Republic,2010,101.7,NA,NA,NA,4
Central African Republic,2011,99.7,NA,NA,NA,4
Central African Republic,2012,97.7,NA,NA,NA,4
Central African Republic,2013,96.1,US,2014,0,4
Central African Republic,2014,93.5,NA,NA,NA,4
Central African Republic,2015,91.5,NA,NA,NA,4
Chad,2010,93.6,US,2011,NA,1
Chad,2011,91.9,NA,NA,NA,1
Chad,2012,90.2,NA,NA,NA,1
Chad,2013,88.4,NA,2013,NA,1
Chad,2014,86.7,NA,NA,NA,1
Chad,2015,85,NA,NA,NA,1
Chile,1980,28.2,NA,NA,NA,8
Chile,1981,25.6,NA,NA,NA,9
Chile,1982,22.9,NA,NA,NA,10
Chile,1983,20.8,NA,NA,NA,11
Chile,1984,19.5,NA,NA,NA,12
Chile,1985,18.9,NA,NA,NA,13
Chile,1986,18.6,NA,NA,NA,14
Chile,1987,18.4,NA,NA,NA,15
Chile,1988,18,NA,NA,NA,16
Chile,1989,17.1,NA,NA,NA,17
Chile,1990,16,NA,NA,NA,18
Chile,1991,14.8,NA,NA,NA,18
Chile,1992,13.7,NA,NA,NA,18
Chile,1993,12.7,NA,NA,NA,18
Chile,1994,11.7,NA,NA,NA,18
Chile,1995,11,NA,NA,NA,18
Chile,1996,10.5,NA,NA,NA,18
Chile,1997,10.2,NA,NA,NA,18
Chile,1998,10.1,NA,NA,NA,18
Chile,1999,9.6,NA,NA,NA,18
Chile,2000,9.2,NA,NA,NA,18
Chile,2001,8.7,NA,NA,NA,18
Chile,2002,8.3,NA,NA,NA,18
Chile,2003,8,NA,NA,NA,18
Chile,2004,7.9,NA,NA,NA,18
Chile,2005,7.7,NA,NA,NA,18
Chile,2006,7.6,NA,NA,NA,18
Chile,2007,7.6,NA,NA,NA,18
Chile,2008,7.6,NA,NA,NA,18
Chile,2009,7.5,NA,NA,NA,18
Chile,2010,7.6,NA,NA,NA,18
Chile,2011,7.5,NA,NA,NA,18
Chile,2012,7.4,NA,NA,NA,18
Chile,2013,7.3,NA,NA,NA,18
Chile,2014,7.2,NA,NA,NA,18
Chile,2015,7,NA,NA,NA,18
China,1991,41.8,US,1992,1,1
China,1992,41.2,NA,NA,NA,1
China,1993,40.2,US,1994,1,1
China,1994,39,NA,NA,NA,1
China,1995,37.7,US,1996,NA,1
China,1996,36.4,NA,NA,NA,1
China,1997,35,NA,NA,0,1
China,1998,33.5,NA,NA,NA,1
China,1999,31.9,NA,NA,NA,1
China,2000,30.2,NA,NA,NA,1
China,2001,28.3,NA,2001,NA,1
China,2002,26.2,NA,NA,NA,1
China,2003,24.2,NA,NA,NA,1
China,2004,22.2,NA,NA,NA,1
China,2005,20.3,NA,NA,NA,1
China,2006,18.7,NA,NA,NA,1
China,2007,17.2,NA,NA,NA,1
China,2008,15.8,NA,NA,NA,1
China,2009,14.6,NA,NA,NA,1
China,2010,13.5,NA,NA,NA,1
China,2011,12.5,NA,NA,NA,1
China,2012,11.5,NA,NA,NA,1
China,2013,10.6,US,2015,NA,1
China,2014,9.8,NA,NA,NA,2
China,2015,9.2,NA,NA,NA,3
Colombia,1994,25.8,US,1998,1,1
Colombia,1995,25,NA,NA,NA,2
Colombia,1996,24.2,NA,NA,NA,3
Colombia,1997,23.4,NA,NA,NA,4
Colombia,1998,22.6,US,1999,NA,5
Colombia,1999,21.9,NA,NA,NA,5
Colombia,2000,21.2,NA,NA,NA,5
Colombia,2001,20.6,NA,NA,NA,5
Colombia,2002,20,US,2003,1,5
Colombia,2003,19.4,NA,NA,NA,5
Colombia,2004,18.9,NA,NA,NA,5
Colombia,2005,18.4,NA,NA,NA,5
Colombia,2006,17.8,NA,NA,NA,5
Colombia,2007,17.3,NA,NA,NA,5
Colombia,2008,16.9,NA,NA,NA,5
Colombia,2009,16.4,NA,NA,NA,5
Colombia,2010,15.9,NA,NA,NA,5
Colombia,2011,15.4,NA,NA,NA,5
Colombia,2012,14.9,NA,NA,NA,5
Colombia,2013,14.5,NA,NA,NA,5
Colombia,2014,14.1,NA,NA,NA,5
Colombia,2015,13.6,NA,NA,NA,5
Costa Rica,2001,10.5,US,2009,0,1
Costa Rica,2002,10,NA,NA,NA,2
Costa Rica,2003,9.5,NA,NA,NA,3
Costa Rica,2004,9.2,NA,NA,NA,4
Costa Rica,2005,9,NA,NA,NA,5
Costa Rica,2006,8.9,NA,NA,NA,6
Costa Rica,2007,8.9,NA,NA,NA,7
Costa Rica,2008,8.9,NA,NA,NA,8
Costa Rica,2009,8.9,NA,NA,NA,9
Costa Rica,2010,8.9,NA,NA,NA,9
Costa Rica,2011,8.8,NA,NA,NA,9
Costa Rica,2012,8.8,NA,NA,NA,9
Costa Rica,2013,8.7,NA,NA,NA,9
Costa Rica,2014,8.6,NA,NA,NA,9
Costa Rica,2015,8.5,NA,NA,NA,9
Croatia,2001,6.9,US,2009,0,1
Croatia,2002,6.6,NA,NA,NA,2
Croatia,2003,6.3,NA,NA,NA,3
Croatia,2004,6.1,NA,NA,NA,4
Croatia,2005,5.8,NA,NA,NA,5
Croatia,2006,5.6,NA,NA,NA,6
Croatia,2007,5.3,NA,NA,NA,7
Croatia,2008,5,NA,NA,NA,8
Croatia,2009,4.8,NA,NA,NA,9
Croatia,2010,4.6,NA,NA,NA,9
Croatia,2011,4.3,NA,NA,NA,9
Croatia,2012,4.1,NA,NA,NA,9
Croatia,2013,4,NA,NA,NA,9
Croatia,2014,3.8,NA,NA,NA,9
Croatia,2015,3.6,NA,NA,NA,9
Cyprus,2002,4.7,US,2009,0,1
Cyprus,2003,4.4,NA,NA,NA,2
Cyprus,2004,4.2,NA,NA,NA,3
Cyprus,2005,3.9,NA,NA,NA,4
Cyprus,2006,3.7,NA,NA,NA,5
Cyprus,2007,3.5,NA,NA,NA,6
Cyprus,2008,3.3,NA,NA,NA,7
Cyprus,2009,3.1,NA,NA,NA,8
Cyprus,2010,3,NA,NA,NA,8
Cyprus,2011,2.9,NA,NA,NA,8
Cyprus,2012,2.8,NA,NA,NA,8
Cyprus,2013,2.7,NA,NA,NA,8
Cyprus,2014,2.6,NA,NA,NA,8
Cyprus,2015,2.5,NA,NA,NA,8
Djibouti,2002,76.4,US,2003,NA,1
Djibouti,2003,74.6,NA,NA,NA,1
Djibouti,2004,72.9,NA,NA,NA,1
Djibouti,2005,71.1,NA,NA,NA,1
Djibouti,2006,69.4,NA,NA,NA,1
Djibouti,2007,67.5,NA,NA,NA,1
Djibouti,2008,65.7,NA,NA,NA,1
Djibouti,2009,63.9,NA,NA,NA,1
Djibouti,2010,62.2,NA,NA,NA,1
Djibouti,2011,60.5,NA,NA,NA,1
Djibouti,2012,58.9,NA,NA,NA,1
Djibouti,2013,57.4,NA,NA,NA,1
Djibouti,2014,55.8,NA,NA,NA,1
Djibouti,2015,54.2,NA,NA,NA,1
Dominica,2001,13.4,US,2004,1,1
Dominica,2002,13.4,NA,NA,NA,2
Dominica,2003,13.4,NA,NA,NA,3
Dominica,2004,13.7,NA,NA,NA,4
Dominica,2005,14,NA,NA,NA,4
Dominica,2006,14.4,NA,NA,NA,4
Dominica,2007,14.9,NA,NA,NA,4
Dominica,2008,15.5,NA,NA,NA,4
Dominica,2009,16.3,NA,NA,NA,4
Dominica,2010,17.2,NA,NA,NA,4
Dominica,2011,17.9,NA,NA,NA,4
Dominica,2012,18.7,NA,NA,NA,4
Dominica,2013,19.3,NA,NA,NA,4
Dominica,2014,19.5,NA,NA,NA,4
Dominica,2015,19.6,NA,NA,NA,4
Ecuador,1995,35.2,US,1998,1,1
Ecuador,1996,33.6,NA,NA,NA,2
Ecuador,1997,32.1,NA,NA,NA,3
Ecuador,1998,30.7,NA,NA,NA,4
Ecuador,1999,29.5,NA,NA,NA,4
Ecuador,2000,28.4,NA,2000,NA,4
Ecuador,2001,27.4,NA,NA,NA,4
Ecuador,2002,26.5,US,2009,0,4
Ecuador,2003,25.7,NA,NA,NA,5
Ecuador,2004,25,NA,NA,NA,6
Ecuador,2005,24.3,NA,NA,NA,7
Ecuador,2006,23.7,NA,NA,NA,8
Ecuador,2007,23.1,NA,NA,NA,9
Ecuador,2008,22.5,NA,NA,NA,10
Ecuador,2009,21.9,NA,NA,NA,11
Ecuador,2010,21.3,NA,NA,NA,11
Ecuador,2011,20.7,NA,NA,NA,11
Ecuador,2012,20.1,NA,NA,NA,11
Ecuador,2013,19.5,NA,NA,NA,11
Ecuador,2014,19,NA,NA,NA,11
Ecuador,2015,18.4,NA,NA,NA,11
El Salvador,1989,48.2,US,1993,1,1
El Salvador,1990,45.9,NA,NA,NA,2
El Salvador,1991,43.8,NA,NA,NA,3
El Salvador,1992,41.7,NA,NA,NA,4
El Salvador,1993,39.7,NA,NA,NA,5
El Salvador,1994,37.6,NA,NA,NA,5
El Salvador,1995,35.6,NA,NA,NA,5
El Salvador,1996,33.7,NA,NA,NA,5
El Salvador,1997,31.8,NA,NA,NA,5
El Salvador,1998,30,NA,NA,NA,5
El Salvador,1999,28.4,NA,NA,NA,5
El Salvador,2000,26.8,NA,NA,NA,5
El Salvador,2001,25.5,NA,NA,NA,5
El Salvador,2002,24.2,NA,NA,NA,5
El Salvador,2003,23.1,NA,NA,NA,5
El Salvador,2004,22,NA,NA,NA,5
El Salvador,2005,20.9,NA,NA,NA,5
El Salvador,2006,20,NA,NA,NA,5
El Salvador,2007,19.2,NA,NA,NA,5
El Salvador,2008,18.4,NA,NA,NA,5
El Salvador,2009,17.7,NA,NA,NA,5
El Salvador,2010,17.1,NA,NA,NA,5
El Salvador,2011,16.5,NA,NA,NA,5
El Salvador,2012,16,NA,NA,NA,5
El Salvador,2013,15.4,NA,NA,NA,5
El Salvador,2014,14.9,NA,NA,NA,5
El Salvador,2015,14.4,NA,NA,NA,5
Estonia,2002,7.5,US,2003,0,1
Estonia,2003,6.9,NA,NA,NA,1
Estonia,2004,6.3,NA,NA,NA,1
Estonia,2005,5.8,NA,NA,NA,1
Estonia,2006,5.3,NA,NA,NA,1
Estonia,2007,4.8,NA,NA,NA,1
Estonia,2008,4.4,NA,NA,NA,1
Estonia,2009,4,NA,NA,NA,1
Estonia,2010,3.6,NA,NA,NA,1
Estonia,2011,3.2,NA,NA,NA,1
Estonia,2012,2.9,NA,NA,NA,1
Estonia,2013,2.7,NA,NA,NA,1
Estonia,2014,2.5,NA,NA,NA,1
Estonia,2015,2.3,NA,NA,NA,1
Fiji,2000,20.8,US,2003,1,1
Fiji,2001,20.5,NA,NA,NA,2
Fiji,2002,20.3,NA,NA,NA,3
Fiji,2003,20.1,NA,NA,NA,4
Fiji,2004,20.1,NA,NA,NA,4
Fiji,2005,20.1,NA,NA,NA,4
Fiji,2006,20.2,NA,2015,1,4
Fiji,2007,20.3,NA,NA,NA,4
Fiji,2008,20.3,NA,NA,NA,4
Fiji,2009,20.3,NA,NA,NA,4
Fiji,2010,20.3,NA,NA,NA,4
Fiji,2011,20.1,NA,NA,NA,4
Fiji,2012,20,NA,NA,NA,4
Fiji,2013,19.7,NA,NA,NA,4
Fiji,2014,19.4,NA,NA,NA,4
Fiji,2015,19.1,NA,NA,NA,4
Finland,2000,3.5,US,2009,NA,1
Finland,2001,3.4,NA,NA,NA,2
Finland,2002,3.4,NA,NA,NA,3
Finland,2003,3.3,NA,NA,NA,4
Finland,2004,3.2,NA,NA,NA,5
Finland,2005,3.1,NA,NA,NA,6
Finland,2006,2.9,NA,NA,NA,7
Finland,2007,2.9,NA,NA,NA,8
Finland,2008,2.7,NA,NA,NA,9
Finland,2009,2.6,NA,NA,NA,10
Finland,2010,2.5,NA,NA,NA,10
Finland,2011,2.4,NA,NA,NA,10
Finland,2012,2.2,NA,NA,NA,10
Finland,2013,2.1,NA,NA,NA,10
Finland,2014,2,NA,NA,NA,10
Finland,2015,1.9,NA,NA,NA,10
Gabon,2000,55.6,US,2003,NA,1
Gabon,2001,54.7,NA,NA,NA,2
Gabon,2002,53.7,NA,NA,NA,3
Gabon,2003,52.6,NA,NA,NA,4
Gabon,2004,51.4,NA,NA,NA,4
Gabon,2005,50.2,NA,NA,NA,4
Gabon,2006,49,NA,NA,NA,4
Gabon,2007,47.4,NA,NA,NA,4
Gabon,2008,45.7,NA,NA,NA,4
Gabon,2009,44.2,NA,NA,NA,4
Gabon,2010,42.8,NA,NA,NA,4
Gabon,2011,41.3,NA,NA,NA,4
Gabon,2012,39.7,NA,NA,NA,4
Gabon,2013,38,NA,NA,NA,4
Gabon,2014,37,NA,NA,NA,4
Gabon,2015,36.1,NA,NA,NA,4
Ghana,2000,64.9,US,2003,NA,1
Ghana,2001,63,NA,NA,NA,2
Ghana,2002,61.2,NA,NA,NA,3
Ghana,2003,59.6,NA,NA,NA,4
Ghana,2004,58.1,NA,NA,NA,4
Ghana,2005,56.8,NA,NA,NA,4
Ghana,2006,55.6,NA,NA,NA,4
Ghana,2007,54.4,NA,NA,NA,4
Ghana,2008,53.1,NA,NA,NA,4
Ghana,2009,51.7,NA,NA,NA,4
Ghana,2010,50.2,NA,NA,NA,4
Ghana,2011,48.6,NA,NA,NA,4
Ghana,2012,47,NA,NA,NA,4
Ghana,2013,45.5,NA,NA,NA,4
Ghana,2014,44.2,NA,NA,NA,4
Ghana,2015,42.8,NA,NA,NA,4
Guatemala,1990,59.8,US,2005,1,1
Guatemala,1991,57.3,NA,NA,NA,2
Guatemala,1992,55,NA,NA,NA,3
Guatemala,1993,52.7,NA,1993,1,4
Guatemala,1994,50.6,NA,NA,NA,5
Guatemala,1995,48.5,NA,NA,NA,6
Guatemala,1996,46.6,NA,NA,NA,7
Guatemala,1997,44.7,NA,NA,NA,8
Guatemala,1998,43,NA,NA,NA,9
Guatemala,1999,41.4,NA,NA,NA,10
Guatemala,2000,39.9,NA,NA,NA,11
Guatemala,2001,38.5,NA,NA,NA,12
Guatemala,2002,37.1,NA,NA,NA,13
Guatemala,2003,35.9,NA,2003,NA,14
Guatemala,2004,34.6,NA,NA,NA,15
Guatemala,2005,33.5,NA,NA,NA,16
Guatemala,2006,32.3,NA,NA,NA,16
Guatemala,2007,31.2,NA,NA,NA,16
Guatemala,2008,30.2,NA,NA,NA,16
Guatemala,2009,29.3,NA,NA,NA,16
Guatemala,2010,28.4,NA,NA,NA,16
Guatemala,2011,27.5,NA,NA,NA,16
Guatemala,2012,26.6,NA,NA,NA,16
Guatemala,2013,25.9,NA,NA,NA,16
Guatemala,2014,25.1,NA,NA,NA,16
